Key,Summary,Status,Project,Current Size,Planned Size,Num of CPCRs/SWCRs,Fix Version/s,CSL Programs,Priority Score,Feature Type,Level
CSLWCS-42560,SUMMARY REDACTED,Open,CSL_WCS,34,10,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Product,1
CSLWCS-43797,SUMMARY REDACTED,Open,CSL_WCS,1,1,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLWCS-43842,SUMMARY REDACTED,Open,CSL_WCS,2,2,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLWCS-44040,SUMMARY REDACTED,Open,CSL_WCS,3,3,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLWCS-43933,SUMMARY REDACTED,Open,CSL_WCS,1,1,,"CSL_R8, CSL_R8_InCapacity",ACB16,2675,Team,2
CSLWCS-44197,SUMMARY REDACTED,Open,CSL_WCS,26,26,,"CSL_R8, CSL_R8_OutOfCapacity",ACB16,,Team,2
CSLWCS-44201,SUMMARY REDACTED,Open,CSL_WCS,1,1,,"CSL_R8, CSL_R8_OutOfCapacity",ACB16,,Team,2
CSLSYSINTT-13714,SUMMARY REDACTED,Open,CSL_SysIntTest,8,8,,"CSL_R8, CSL_R8_InCapacity",ACB16,,Product,1
CSLSYSINTT-13715,SUMMARY REDACTED,Open,CSL_SysIntTest,8,8,,"CSL_R8, CSL_R8_InCapacity",ACB16,,Team,2
CSLPACB16-12817,SUMMARY REDACTED,Open,CSLP_ACB16,36,,,"CSL_R7, CSL_R8, CSL_R7_OutOfCapacity, CSL_R8_InCapacity",ACB16,2670,Program,0
CSLMODSIM-17528,SUMMARY REDACTED,Open,CSL_ModSimAnalysis,20,20,,"CSL_R7, CSL_R7_OutOfCapacity, CSL_R8, CSL_R8_InCapacity",ACB16,2670,Product,1
CSLMODSIM-19096,SUMMARY REDACTED,Open,CSL_ModSimAnalysis,20,20,,"CSL_R7, CSL_R7_OutOfCapacity, CSL_R8, CSL_R8_InCapacity",ACB16,2670,Team,2
CSLSYSINTT-12752,SUMMARY REDACTED,Open,CSL_SysIntTest,5,5,,"CSL_R8, CSL_R8_InCapacity",ACB16,2670,Product,1
CSLSYSINTT-13104,SUMMARY REDACTED,Open,CSL_SysIntTest,5,5,,"CSL_R8, CSL_R8_InCapacity",ACB16,,Team,2
CSLSYSINTT-9569,SUMMARY REDACTED,Open,CSL_SysIntTest,5,8,,"CSL_R7, CSL_R7_InCapacity",ACB16,1956,Product,1
CSLSYSINTT-9822,SUMMARY REDACTED,Resolved,CSL_SysIntTest,5,8,,"CSL_R7, CSL_R7_InCapacity",ACB16,1956,Team,2
CSLSYSINTT-9555,SUMMARY REDACTED,Open,CSL_SysIntTest,6,14,,"CSL_R7, CSL_R7_InCapacity",ACB16,1956,Product,1
CSLSYSINTT-9808,SUMMARY REDACTED,Open,CSL_SysIntTest,6,6,,"CSL_R7, CSL_R7_InCapacity",ACB16,1956,Team,2
CSLPIRAD-43,SUMMARY REDACTED,Open,CSLP_IRAD,359,205,,CSL_R8,Navy Product Extension IRAD,2665,,0
CSLOASIS-15100,SUMMARY REDACTED,Open,CSL_OASIS,10,10,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,Product,1
CSLOASIS-15590,SUMMARY REDACTED,Open,CSL_OASIS,5,5,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,Team,2
CSLOASIS-15661,SUMMARY REDACTED,Open,CSL_OASIS,5,5,,"CSL_R8, CSL_R8_InCapacity",IRAD,2665,Team,2
CSLMODSIM-22226,SUMMARY REDACTED,Open,CSL_ModSimAnalysis,42,42,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,Product,1
CSLMODSIM-23539,SUMMARY REDACTED,Open,CSL_ModSimAnalysis,27,27,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,Team,2
CSLMODSIM-23563,SUMMARY REDACTED,Open,CSL_ModSimAnalysis,15,15,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,Team,2
AFMSCSLWCS-3397,SUMMARY REDACTED,Open,AFMS_CSL_WCS,137,137,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,,1
AFMSCSLCND-4029,SUMMARY REDACTED,Open,AFMS_CSL_CND,49,49,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,,1
CSLWCS-43201,SUMMARY REDACTED,Open,CSL_WCS,35,30,,"CSL_R8, CSL_R8_InCapacity",IRAD,2665,Product,1
CSLWCS-43802,SUMMARY REDACTED,Open,CSL_WCS,10,10,,"CSL_R8, CSL_R8_InCapacity",IRAD,2665,Team,2
CSLWCS-44046,SUMMARY REDACTED,Open,CSL_WCS,5,5,,"CSL_R8, CSL_R8_InCapacity",IRAD,2665,Team,2
CSLWCS-44420,SUMMARY REDACTED,Open,CSL_WCS,20,20,,CSL_R8,IRAD,,Team,2
CSLADS-55838,SUMMARY REDACTED,Open,CSL_ADS,21,21,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,Product,1
CSLADS-56152,SUMMARY REDACTED,Open,CSL_ADS,21,21,,"CSL_R8, CSL_R8_InCapacity",Navy Product Extension IRAD,2665,Team,2
